#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:31:48.554
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 90 °

Time (s),Channel 1 (V),Channel 2 (V)
-2.080078125e-05,0.3805217757772,0.1066223158182642
-2.017578124999999e-05,0.3907803417501122,0.1066223158182642
-1.955078125e-05,0.3907803417501122,0.1015344437359879
-1.892578124999999e-05,0.3907803417501122,0.1015344437359879
-1.830078124999999e-05,0.3959096247365683,0.09644657165371155
-1.767578124999999e-05,0.4010389077230244,0.1015344437359879
-1.705078124999999e-05,0.4010389077230244,0.09644657165371155
-1.642578124999999e-05,0.4061681907094805,0.09135869957143522
-1.580078124999999e-05,0.4112974736959366,0.09135869957143522
-1.517578125e-05,0.4112974736959366,0.09135869957143522
-1.455078125e-05,0.4164267566823927,0.0862708274891589
-1.392578125e-05,0.4215560396688488,0.08118295540688258
-1.330078125e-05,0.4215560396688488,0.0862708274891589
-1.267578125e-05,0.4266853226553049,0.08118295540688258
-1.205078125e-05,0.4369438886282171,0.07609508332460625
-1.142578125e-05,0.431814605641761,0.08118295540688258
-1.080078125e-05,0.4369438886282171,0.07609508332460625
-1.017578125e-05,0.4472024546011293,0.0659193391600536
-9.550781249999997e-06,0.4420731716146732,0.07609508332460625
-8.925781249999995e-06,0.4472024546011293,0.07100721124232992
-8.300781249999996e-06,0.4574610205740415,0.06083146707777728
-7.675781249999996e-06,0.4523317375875854,0.07100721124232992
-7.050781249999996e-06,0.4574610205740415,0.0659193391600536
-6.425781249999997e-06,0.4677195865469537,0.05574359499550095
-5.800781249999997e-06,0.4625903035604976,0.06083146707777728
-5.175781249999997e-06,0.4677195865469537,0.06083146707777728
-4.550781249999997e-06,0.4779781525198659,0.05065572291322463
-3.925781249999996e-06,0.4779781525198659,0.05574359499550095
-3.300781249999996e-06,0.4728488695334098,0.05574359499550095
-2.675781249999996e-06,0.4882367184927781,0.0455678508309483
-2.050781249999996e-06,0.4882367184927781,0.0455678508309483
-1.425781249999996e-06,0.4882367184927781,0.05574359499550095
-8.007812499999961e-07,0.4984952844656903,0.04047997874867198
-1.75781249999996e-07,0.5036245674521465,0.04047997874867198
4.49218750000004e-07,0.4933660014792342,0.05574359499550095
1.074218750000004e-06,0.5087538504386026,0.04047997874867198
1.699218750000004e-06,0.5138831334250586,0.03539210666639565
2.324218750000004e-06,0.5087538504386026,0.0455678508309483
2.949218750000004e-06,0.5190124164115147,0.03539210666639565
3.574218750000004e-06,0.5241416993979708,0.03030423458411933
4.199218750000004e-06,0.5190124164115147,0.04047997874867198
4.824218750000003e-06,0.5292709823844269,0.03539210666639565
5.449218750000004e-06,0.5292709823844269,0.025216362501843
6.074218750000004e-06,0.534400265370883,0.03030423458411933
6.699218750000004e-06,0.5395295483573391,0.03030423458411933
7.324218750000004e-06,0.5446588313437952,0.02012849041956668
7.949218750000005e-06,0.5395295483573391,0.025216362501843
8.574218750000003e-06,0.5446588313437952,0.03030423458411933
9.199218750000003e-06,0.5497881143302513,0.02012849041956668
9.824218750000003e-06,0.5497881143302513,0.02012849041956668
1.044921875e-05,0.5549173973167074,0.025216362501843
1.107421875e-05,0.5651759632896196,0.009952746255014029
1.169921875e-05,0.5600466803031635,0.02012849041956668
1.232421875e-05,0.5651759632896196,0.01504061833729035
1.294921875e-05,0.5703052462760757,0.009952746255014029
1.357421875e-05,0.5703052462760757,0.009952746255014029
1.419921875e-05,0.5805638122489879,0.009952746255014029
1.482421875e-05,0.5805638122489879,0.009952746255014029
1.544921875e-05,0.5805638122489879,0.009952746255014029
1.607421875000001e-05,0.5908223782219001,-0.0002229979095386206
1.669921875e-05,0.5908223782219001,0.004864874172737704
1.732421875000001e-05,0.5908223782219001,0.004864874172737704
1.794921875e-05,0.6010809441948123,-0.005310869991814945
1.857421875000001e-05,0.6010809441948123,-0.0002229979095386206
1.919921875e-05,0.6010809441948123,0.004864874172737704
1.982421875000001e-05,0.6113395101677246,-0.005310869991814945
2.044921875000001e-05,0.6113395101677246,-0.005310869991814945
2.107421875000001e-05,0.6113395101677246,-0.0002229979095386206
2.169921875000001e-05,0.6215980761406368,-0.005310869991814945
2.232421875000001e-05,0.6267273591270929,-0.01039874207409127
2.294921875000001e-05,0.6215980761406368,-0.0002229979095386206
2.357421875000001e-05,0.6267273591270929,-0.01039874207409127
2.419921875000001e-05,0.631856642113549,-0.0154866141563676
2.482421875e-05,0.6267273591270929,-0.005310869991814945
2.544921875000001e-05,0.6369859251000051,-0.01039874207409127
2.607421875e-05,0.6421152080864612,-0.02057448623864392
2.669921875000001e-05,0.6369859251000051,-0.005310869991814945
2.732421875e-05,0.6472444910729173,-0.0154866141563676
2.794921875000001e-05,0.6523737740593734,-0.02057448623864392
2.857421875e-05,0.6472444910729173,-0.01039874207409127
2.919921875000001e-05,0.6523737740593734,-0.0154866141563676
2.982421875e-05,0.6626323400322855,-0.02566235832092024
