#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:24:44.645
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.002559775390625,-0.07085512703093697
-0.002559150390625,-0.08624297599030528
-0.002558525390625,-0.08111369300385152
-0.002557900390625,-0.08624297599030528
-0.002557275390625,-0.09650154196321747
-0.002556650390625,-0.09650154196321747
-0.002556025390625,-0.09650154196321747
-0.002555400390625,-0.106760107936125
-0.002554775390625,-0.1118893909225858
-0.002554150390625,-0.1067601079361367
-0.002553525390625,-0.122147956895498
-0.002552900390625,-0.122147956895498
-0.002552275390625,-0.122147956895498
-0.002551650390625,-0.1324065228684102
-0.002551025390625,-0.1375358058548663
-0.002550400390625,-0.1324065228684102
-0.002549775390625,-0.137535805854864
-0.002549150390625,-0.1477943718277785
-0.002548525390625,-0.1426650888413271
-0.002547900390625,-0.1529236548142346
-0.002547275390625,-0.1580529378006907
-0.002546650390625,-0.1580529378006907
-0.002546025390625,-0.1683115037736029
-0.002545400390625,-0.1683115037736029
-0.002544775390625,-0.173440786760059
-0.002544150390625,-0.1785700697465128
-0.002543525390625,-0.1836993527329712
-0.002542900390625,-0.1836993527329736
-0.002542275390625,-0.1888286357194273
-0.002541650390625,-0.1888286357194273
-0.002541025390625,-0.1939579187058834
-0.002540400390625,-0.1990872016923395
-0.002539775390625,-0.2042164846787933
-0.002539150390625,-0.2042164846787956
-0.002538525390625,-0.2144750506517032
-0.002537900390625,-0.2196043336381639
-0.002537275390625,-0.2144750506517125
-0.002536650390625,-0.22473361662462
-0.002536025390625,-0.22473361662462
-0.002535400390625,-0.22473361662462
-0.002534775390625,-0.2349921825975322
-0.002534150390625,-0.240121465583986
-0.002533525390625,-0.2349921825975322
-0.002532900390625,-0.2452507485704491
-0.002532275390625,-0.2555093145433566
-0.002531650390625,-0.2503800315569052
-0.002531025390625,-0.2606385975298127
-0.002530400390625,-0.2657678805162688
-0.002529775390625,-0.2606385975298127
-0.002529150390625,-0.2657678805162688
-0.002528525390625,-0.2760264464891763
-0.002527900390625,-0.2708971635027249
-0.002527275390625,-0.276026446489188
-0.002526650390625,-0.2914142954485493
-0.002526025390625,-0.2862850124620932
-0.002525400390625,-0.2862850124620932
-0.002524775390625,-0.3016728614214615
-0.002524150390625,-0.2965435784350077
-0.002523525390625,-0.2965435784350054
-0.002522900390625,-0.3119314273943667
-0.002522275390625,-0.3068021444079176
-0.002521650390625,-0.3068021444079246
-0.002521025390625,-0.3221899933672859
-0.002520400390625,-0.3221899933672859
-0.002519775390625,-0.3221899933672859
-0.002519150390625,-0.3324485593401981
-0.002518525390625,-0.3375778423266519
-0.002517900390625,-0.3324485593401981
