#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:41:18.550
#Sample rate: 8e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 20 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 90 °

Time (s),Channel 1 (V)
-0.0005119320885894496,-0.9381934800396453
-0.0005118070885894496,-0.9181822480110641
-0.0005116820885894496,-0.9381934800396362
-0.0005115570885894496,-0.9181822480110641
-0.0005114320885894496,-0.918182248011055
-0.0005113070885894496,-0.8981710159824647
-0.0005111820885894496,-0.918182248011055
-0.0005110570885894496,-0.918182248011055
-0.0005109320885894495,-0.9181822480110641
-0.0005108070885894496,-0.9381934800396362
-0.0005106820885894496,-0.918182248011055
-0.0005105570885894496,-0.918182248011055
-0.0005104320885894496,-0.918182248011055
-0.0005103070885894496,-0.8981710159824647
-0.0005101820885894496,-0.918182248011055
-0.0005100570885894496,-0.918182248011055
-0.0005099320885894496,-0.918182248011055
-0.0005098070885894496,-0.918182248011055
-0.0005096820885894496,-0.918182248011055
-0.0005095570885894496,-0.8981710159824647
-0.0005094320885894496,-0.8981710159824738
-0.0005093070885894495,-0.918182248011055
-0.0005091820885894496,-0.918182248011055
-0.0005090570885894496,-0.918182248011055
-0.0005089320885894496,-0.918182248011055
-0.0005088070885894496,-0.918182248011055
-0.0005086820885894496,-0.8981710159824647
-0.0005085570885894496,-0.918182248011055
-0.0005084320885894495,-0.918182248011055
-0.0005083070885894496,-0.918182248011055
-0.0005081820885894496,-0.918182248011055
-0.0005080570885894496,-0.918182248011055
-0.0005079320885894496,-0.918182248011055
-0.0005078070885894496,-0.9181822480110459
-0.0005076820885894495,-0.8981710159824647
-0.0005075570885894496,-0.8981710159824647
-0.0005074320885894496,-0.8981710159824647
-0.0005073070885894496,-0.918182248011055
-0.0005071820885894496,-0.918182248011055
-0.0005070570885894496,-0.8981710159824647
-0.0005069320885894496,-0.8981710159824647
-0.0005068070885894495,-0.8981710159824647
-0.0005066820885894496,-0.8981710159824647
-0.0005065570885894496,-0.8981710159824647
-0.0005064320885894496,-0.8981710159824647
-0.0005063070885894496,-0.918182248011055
-0.0005061820885894496,-0.8981710159824647
-0.0005060570885894495,-0.8981710159824647
-0.0005059320885894496,-0.8981710159824647
-0.0005058070885894496,-0.8981710159824647
-0.0005056820885894496,-0.8981710159824647
-0.0005055570885894496,-0.8981710159824647
-0.0005054320885894496,-0.8981710159824647
-0.0005053070885894496,-0.9181822480110459
-0.0005051820885894495,-0.8981710159824556
-0.0005050570885894496,-0.8781597839538835
-0.0005049320885894496,-0.8981710159824647
-0.0005048070885894496,-0.8781597839538744
-0.0005046820885894496,-0.8981710159824647
-0.0005045570885894496,-0.8981710159824647
-0.0005044320885894495,-0.8981710159824647
-0.0005043070885894496,-0.8981710159824647
-0.0005041820885894496,-0.8981710159824647
-0.0005040570885894496,-0.8781597839538744
-0.0005039320885894496,-0.8781597839538744
-0.0005038070885894496,-0.8781597839538744
-0.0005036820885894496,-0.8981710159824647
-0.0005035570885894495,-0.8981710159824647
-0.0005034320885894496,-0.8981710159824647
-0.0005033070885894496,-0.8981710159824647
-0.0005031820885894496,-0.8981710159824647
-0.0005030570885894496,-0.8781597839538744
-0.0005029320885894496,-0.8781597839538744
-0.0005028070885894496,-0.8981710159824647
-0.0005026820885894496,-0.8981710159824647
-0.0005025570885894496,-0.8981710159824647
-0.0005024320885894496,-0.8981710159824647
-0.0005023070885894496,-0.8981710159824647
-0.0005021820885894496,-0.8981710159824647
-0.0005020570885894496,-0.8781597839538835
-0.0005019320885894495,-0.8981710159824647
-0.0005018070885894496,-0.8981710159824647
-0.0005016820885894496,-0.8981710159824647
-0.0005015570885894496,-0.8981710159824647
-0.0005014320885894496,-0.8981710159824647
-0.0005013070885894496,-0.8781597839538744
-0.0005011820885894496,-0.8781597839538835
-0.0005010570885894496,-0.8981710159824556
-0.0005009320885894496,-0.8981710159824647
-0.0005008070885894496,-0.8981710159824647
-0.0005006820885894496,-0.8981710159824647
-0.0005005570885894496,-0.8981710159824647
-0.0005004320885894496,-0.8981710159824647
-0.0005003070885894495,-0.8981710159824556
-0.0005001820885894496,-0.8781597839538835
-0.0005000570885894496,-0.8781597839538744
-0.0004999320885894496,-0.8981710159824647
-0.0004998070885894496,-0.8981710159824647
-0.0004996820885894496,-0.8981710159824647
-0.0004995570885894496,-0.8981710159824647
-0.0004994320885894496,-0.8981710159824647
-0.0004993070885894496,-0.8781597839538835
-0.0004991820885894496,-0.8981710159824647
-0.0004990570885894496,-0.8981710159824647
-0.0004989320885894496,-0.8981710159824647
-0.0004988070885894496,-0.8981710159824647
-0.0004986820885894495,-0.8981710159824647
-0.0004985570885894496,-0.8981710159824647
-0.0004984320885894496,-0.8981710159824647
-0.0004983070885894496,-0.8781597839538744
-0.0004981820885894496,-0.8981710159824647
-0.0004980570885894496,-0.8981710159824647
-0.0004979320885894496,-0.8981710159824647
-0.0004978070885894496,-0.8981710159824647
-0.0004976820885894496,-0.8981710159824647
