#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:48:33.951
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: C1 - C2

#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.0024045703125,-2.19020858922937,-1.800239429558916,-0.3899691596704535
-0.0024039453125,-2.190208589229375,-1.788538563680551,-0.4016700255488238
-0.0024033203125,-2.200649270250957,-1.800239429558916,-0.4004098406920411
-0.0024026953125,-2.19020858922937,-1.800239429558916,-0.3899691596704535
-0.0024020703125,-2.200649270250957,-1.800239429558916,-0.4004098406920411
-0.0024014453125,-2.211089951272545,-1.811940295437287,-0.3991496558352581
-0.0024008203125,-2.211089951272545,-1.811940295437287,-0.3991496558352581
-0.0024001953125,-2.211089951272545,-1.800239429558916,-0.4108505217136291
-0.0023995703125,-2.221530632294134,-1.811940295437287,-0.4095903368568461
-0.0023989453125,-2.221530632294134,-1.811940295437287,-0.4095903368568461
-0.0023983203125,-2.221530632294138,-1.811940295437293,-0.4095903368568455
-0.0023976953125,-2.231971313315722,-1.823641161315658,-0.4083301520000631
-0.0023970703125,-2.231971313315722,-1.823641161315658,-0.4083301520000631
-0.0023964453125,-2.231971313315722,-1.823641161315658,-0.4083301520000631
-0.0023958203125,-2.24241199433731,-1.83534202719403,-0.40706996714328
-0.0023951953125,-2.24241199433731,-1.83534202719403,-0.40706996714328
-0.0023945703125,-2.24241199433731,-1.83534202719403,-0.40706996714328
-0.0023939453125,-2.252852675358898,-1.8470428930724,-0.4058097822864972
-0.0023933203125,-2.252852675358898,-1.8470428930724,-0.4058097822864972
-0.0023926953125,-2.252852675358902,-1.847042893072406,-0.4058097822864967
-0.0023920703125,-2.263293356380485,-1.858743758950771,-0.4045495974297137
-0.0023914453125,-2.273734037402073,-1.858743758950771,-0.4149902784513018
-0.0023908203125,-2.273734037402073,-1.870444624829137,-0.403289412572936
-0.0023901953125,-2.284174718423661,-1.882145490707513,-0.4020292277161479
-0.0023895703125,-2.284174718423661,-1.870444624829148,-0.4137300935945134
-0.0023889453125,-2.284174718423661,-1.882145490707513,-0.4020292277161479
-0.0023883203125,-2.294615399445249,-1.882145490707513,-0.4124699087377359
-0.0023876953125,-2.294615399445249,-1.882145490707513,-0.4124699087377359
-0.0023870703125,-2.294615399445249,-1.882145490707513,-0.4124699087377359
-0.0023864453125,-2.305056080466837,-1.893846356585884,-0.4112097238809529
-0.0023858203125,-2.305056080466837,-1.893846356585884,-0.4112097238809529
-0.0023851953125,-2.305056080466837,-1.893846356585884,-0.4112097238809529
-0.0023845703125,-2.315496761488425,-1.893846356585884,-0.4216504049025409
-0.0023839453125,-2.315496761488425,-1.893846356585884,-0.4216504049025409
-0.0023833203125,-2.315496761488425,-1.893846356585884,-0.4216504049025409
-0.0023826953125,-2.325937442510013,-1.905547222464255,-0.4203902200457574
-0.0023820703125,-2.325937442510013,-1.905547222464255,-0.4203902200457574
-0.0023814453125,-2.325937442510013,-1.905547222464255,-0.4203902200457574
-0.0023808203125,-2.336378123531601,-1.917248088342626,-0.4191300351889744
-0.0023801953125,-2.336378123531601,-1.905547222464255,-0.4308309010673455
-0.0023795703125,-2.346818804553184,-1.917248088342621,-0.429570716210563
-0.0023789453125,-2.346818804553189,-1.928948954220997,-0.4178698503321916
